Message,Sentimiento
Me estan cobrando muy cara la factura y me quiero retirar,Negativo
Llevo más de 3 meses queriendo cancelar mi servicio,Negativo
@DIRECTVGOAyuda No me deja entrar con mi cuenta pic.twitter.com/8Pm4AvPPgb,Negativo
"@DIRECTVGOAyuda Buenos días, he intentado en varias ocasiones usar el servicio de DirectvGO y no se me ha permitido autorizar las aplicaciones en la web, tengo Plan Oro y no veo porqué no pueda realizarlo. Agradezco cualquier ayuda al respecto.",Negativo
"@DIRECTVGOAyuda hola, hay una opción para entrar con MIDIRECTV, pero en chile se entra con RUT no con email a MIDIRECTV, por lo tanto hace imposible entrar a la “nueva plataforma”...",Negativo
Hola intento ingresar a DIRECTV go con mi DIRECTV y no me lo permite favor sus comentarios,Negativo
@DIRECTVGOAyuda hola buenas no puedo acceder con MIDIRECTV favor su ayuda gracias,Negativo
@DIRECTVGOAyuda Fallo al iniciar sesión,Negativo
@DIRECTVGOAyuda Ese link es solo para ingresar desde computador porque intento ingresar desde mi teléfono y me arroga error,Negativo
Yo tengo cuenta con ustedes y no me deja ingresar,Negativo
Tengo cuenta mí direct TV y no me deja entrar,Negativo
"@DIRECTVGOAyuda Pero no permite , da error https://t.co/jww1A3NSj8",Negativo
@DIRECTVGOAyuda Nuevamente,Negativo
"@DIRECTVGOAyuda No me ha pasado hoy puntualmente, no me deja desde un principio, debo hacer algo?",Negativo
"@DIRECTVGO Desde que tengo Directv no he podido ingresar a la plataforma. Tengo Oro HD y simplemente no puedo ingresar, aparece ""Fallo de inicio de sesión"", sin embargo, a Midirectv ingreso sin problemas",Negativo
"@DIRECTVServicio porque no puedo ingresar a Directvgo desde Midirectv??? dice que el correo y la contraseña están mal, ingreso de Midirectv y funciona. 😕",Negativo
"ingreso a la pagina 
 me deja ingresar solo mi correo y despues nada mas",Negativo
"Hola! Quiero tener acceso a DIRECTV go, tengo plan Oro HD, descargué pero no me permite ingresar... el titular es Claudia Isabel Torres y la cédula es 41894666",Negativo
"@DIRECTVGOAyuda Hola! Quiero tener acceso a DIRECTV go, tengo plan Oro HD, descargué la app pero no me permite ingresar :(",Negativo
"Buenas tardes, soy cliente y tengo plan oro HD y segun vuestra publicidad deberia poder ver directv go ingresando con el mail registrado en midirecv, pues bien trato de entrar y me indica que los datos son erroneos el problema es que con esos mismos datos entro a midirectv, publicidad engañosa o hay que hacer algo mas para ingresar a directv go?",Negativo
"Buenas tardes, soy cliente y tengo plan oro HD y segun vuestra publicidad deberia poder ver directv go ingresando con el mail registrado en midirecv, pues bien trato de entrar y me indica que los datos son erroneos el problema es que con esos mismos datos entro a midirectv, publicidad engañosa o hay que hacer algo mas para ingresar a directv go?",Negativo
@DIRECTVGO Buenas noches me gustaría saber porque si mi plan es oro no puedo acceder y probar la plataforma gracias.,Negativo
@DIRECTVGOAyuda Me sale que no puedo acceder,Negativo
"@DIRECTVGO En Venezuela no tengo acceso a la aplicación desde mis dispositivos 😔 y tengo OROHD. La palabra que usaría es SERIES, COMEDIA, ANIMACION, FICCION, DEPORTE Y FANTASÍA 😬😁😁😁",Negativo
"@DIRECTVGO No puedo cambiar mi login con el RUT por el mail, y por lo tanto no me deja logear como MIDIRECTV. Cómo lo arreglo?",Negativo
@DIRECTVGOAyuda Qué pasa si mi autenticación de midirectv es con el rut?,Negativo
@DIRECTVGOAyuda soy cliente de DIRECTV y no puedo ingresar ni como cliente!,Negativo
"Por favor, Ayuda. No puedo ingresar a DirectvGO",Negativo
"@DIRECTVGOAyuda El mismo mensaje. ""e-mail o contraseña son incorrectas""",Negativo
"@DIRECTVGOAyuda :Hola,tengo un plan Oro pero no puedo ingresar a Directv Go con mi clave porque ?",Negativo
@DIRECTVGOAyuda Lo hice pero dice clave o correo no corresponde ?,Negativo
Soy usuario de DirecTV e intente ingresar con mi correo y clave y dice que no lo tengo disponible que debo cambiar mi plan,Negativo
Soy usuario de DirecTV e intente ingresar con mi correo y clave y dice que no lo tengo disponible que debo cambiar mi plan,Negativo
